Category Guess Histogram
========================

Matched
[831 953 717 881 771 902 520 922 935 941 ---]
[0.0 0.9 1.8 2.7 3.6 4.5 5.4 6.3 7.2 8.1 9.0]
['T-shirt/top', 'Trouser', 'Pullover', 'Dress', 'Coat', 'Sandal', 'Shirt', 'Sneaker', 'Bag', 'Ankle boot']

Missed
[213  22 269 196 316  61 295 106  68  81 ---]
[0.0 0.9 1.8 2.7 3.6 4.5 5.4 6.3 7.2 8.1 9. ]


Value Guess Histogram (auto)
============================

Matched
[  63  405 1203 1835 2105 1463  735  355  159   50 ----]
[ 2.6  4.4  6.2  8.0  9.8 11.6 13.4 15.3 17.1 18.9 20.7]

Missed
[  16  111  208  317  361  348  181   61   18    6 ---- ---- ---- ----]
[ 2.1  3.5  4.9  6.3  7.7  9.1 10.5 11.8 13.2 14.6 16.0 17.4 18.8 20.2]


Value Guess Histogram
=====================

Matched
[   0   30  367 1259 2045 2288 1365  629  286   97 ----]
[   0    2    4    6    8   10   12   14   16   18   20]

Missed
[   0   48  246  434  533  292   63   10    1    0  ---]
[   0    2    4    6    8   10   12   14   16   18   20]


Missed Items
============

   12 Predicted: "Sandal" 6.4, Actual: "Sneaker" 4.4
  490 Predicted: "Shirt" 7.6, Actual: "Dress" 4.4
  506 Predicted: "Trouser" 5.1, Actual: "Pullover" 4.2
  526 Predicted: "Shirt" 7.8, Actual: "Coat" 6.7
  527 Predicted: "Shirt" 7.8, Actual: "Pullover" 6.2
  529 Predicted: "Shirt" 8.7, Actual: "Bag" 8.1
  531 Predicted: "Sneaker" 2.1, Actual: "T-shirt/top" 1.9
  541 Predicted: "Pullover" 9.5, Actual: "Coat" 8.9
  544 Predicted: "Dress" 4.5, Actual: "T-shirt/top" 4.1
  546 Predicted: "Coat" 9.3, Actual: "Pullover" 9.0
  562 Predicted: "Pullover" 7.3, Actual: "Shirt" 5.6
  563 Predicted: "T-shirt/top" 8.2, Actual: "Shirt" 6.5
  565 Predicted: "T-shirt/top" 11.2, Actual: "Shirt" 9.0
  569 Predicted: "Pullover" 6.7, Actual: "Dress" 5.5
  570 Predicted: "Shirt" 4.9, Actual: "Dress" 4.5
  572 Predicted: "T-shirt/top" 8.7, Actual: "Shirt" 7.0
  577 Predicted: "Dress" 5.9, Actual: "T-shirt/top" 5.1
  578 Predicted: "Shirt" 5.1, Actual: "Dress" 3.9
  586 Predicted: "T-shirt/top" 11.8, Actual: "Shirt" 10.6
  587 Predicted: "Coat" 7.1, Actual: "Shirt" 7.1
  595 Predicted: "Pullover" 8.8, Actual: "Shirt" 7.8
  608 Predicted: "Shirt" 9.5, Actual: "Pullover" 9.3
  616 Predicted: "Dress" 7.8, Actual: "T-shirt/top" 6.5
  628 Predicted: "Bag" 12.7, Actual: "Shirt" 10.0
  632 Predicted: "Shirt" 6.8, Actual: "Pullover" 5.9
  634 Predicted: "Coat" 9.8, Actual: "Shirt" 8.9
  635 Predicted: "Trouser" 7.5, Actual: "Bag" -0.3
  639 Predicted: "Pullover" 8.4, Actual: "Coat" 6.1
  661 Predicted: "Bag" 3.6, Actual: "Dress" 2.9
  663 Predicted: "Dress" 7.5, Actual: "Trouser" -0.0
  664 Predicted: "Pullover" 3.7, Actual: "Shirt" 3.5
  670 Predicted: "Shirt" 8.4, Actual: "Pullover" 3.3
  671 Predicted: "Sandal" 5.5, Actual: "Sneaker" 4.1
  685 Predicted: "Dress" 9.6, Actual: "Coat" 9.5
  686 Predicted: "Coat" 10.7, Actual: "Pullover" 9.8
  688 Predicted: "Pullover" 4.5, Actual: "Dress" 1.2
  689 Predicted: "Pullover" 9.4, Actual: "Coat" 9.3
  697 Predicted: "Shirt" 5.1, Actual: "Bag" 4.1
  701 Predicted: "Dress" 7.7, Actual: "Trouser" 2.1
  702 Predicted: "Pullover" 9.6, Actual: "Coat" 9.6
  711 Predicted: "Dress" 10.5, Actual: "Shirt" 7.9
  722 Predicted: "Sneaker" 10.2, Actual: "Sandal" 5.3
  725 Predicted: "Coat" 8.8, Actual: "Shirt" 7.9
  732 Predicted: "T-shirt/top" 10.0, Actual: "Pullover" 5.7
  753 Predicted: "T-shirt/top" 10.6, Actual: "Dress" 9.4
  760 Predicted: "Dress" 4.8, Actual: "Pullover" 2.9
  761 Predicted: "Pullover" 7.4, Actual: "Shirt" 7.0
  767 Predicted: "Coat" 8.5, Actual: "Shirt" 8.2
  787 Predicted: "Dress" 10.1, Actual: "Trouser" 4.8
  800 Predicted: "Ankle boot" 14.5, Actual: "Sneaker" 10.1
  801 Predicted: "Pullover" 7.1, Actual: "Coat" 3.6
  805 Predicted: "Pullover" 8.2, Actual: "Coat" 7.7
  823 Predicted: "Pullover" 10.7, Actual: "Shirt" 10.1
  844 Predicted: "Coat" 5.8, Actual: "Dress" 5.5
  851 Predicted: "Coat" 7.6, Actual: "Pullover" 6.2
  852 Predicted: "Sneaker" 5.8, Actual: "Sandal" 5.6
  858 Predicted: "Dress" 5.6, Actual: "T-shirt/top" 5.6
  870 Predicted: "Shirt" 9.4, Actual: "Pullover" 9.3
  887 Predicted: "Trouser" 6.4, Actual: "Dress" 6.0
  888 Predicted: "Bag" 6.5, Actual: "Coat" 5.6
  890 Predicted: "Dress" 7.7, Actual: "T-shirt/top" 6.0
  894 Predicted: "Dress" 5.6, Actual: "T-shirt/top" 5.4
  898 Predicted: "Ankle boot" 8.8, Actual: "Sandal" 8.6
  902 Predicted: "Sneaker" 9.4, Actual: "Sandal" 5.9
  905 Predicted: "Pullover" 9.1, Actual: "Coat" 7.4
  909 Predicted: "Pullover" 6.0, Actual: "Shirt" 3.5
  921 Predicted: "Coat" 10.4, Actual: "Shirt" 9.7
  924 Predicted: "Shirt" 5.6, Actual: "Coat" 5.5
  925 Predicted: "Sandal" 7.1, Actual: "Sneaker" 6.2
  926 Predicted: "Shirt" 4.8, Actual: "T-shirt/top" 4.3
  930 Predicted: "Shirt" 5.2, Actual: "T-shirt/top" 3.3
  935 Predicted: "Shirt" 11.9, Actual: "Coat" 10.4
  938 Predicted: "Pullover" 5.9, Actual: "Shirt" 5.5
  945 Predicted: "Ankle boot" 10.4, Actual: "Sandal" 9.5
  946 Predicted: "Sneaker" 7.6, Actual: "Sandal" 7.4
  956 Predicted: "Pullover" 8.0, Actual: "Shirt" 6.9
  965 Predicted: "Shirt" 10.4, Actual: "T-shirt/top" 7.6
  966 Predicted: "T-shirt/top" 8.9, Actual: "Shirt" 7.2
  968 Predicted: "T-shirt/top" 8.5, Actual: "Shirt" 8.0
  971 Predicted: "Dress" 7.3, Actual: "Shirt" 5.3
  976 Predicted: "Coat" 10.0, Actual: "Pullover" 6.4
  977 Predicted: "T-shirt/top" 12.0, Actual: "Shirt" 10.6
  979 Predicted: "T-shirt/top" 13.0, Actual: "Dress" 7.4
  986 Predicted: "Coat" 10.8, Actual: "Pullover" 10.7
  993 Predicted: "Sneaker" 6.9, Actual: "Sandal" 6.3
  994 Predicted: "Pullover" 11.0, Actual: "Coat" 10.0
 1004 Predicted: "Pullover" 7.3, Actual: "Shirt" 6.6
 1005 Predicted: "Pullover" 7.6, Actual: "T-shirt/top" 3.2
 1008 Predicted: "Pullover" 5.3, Actual: "Shirt" 5.1
 1025 Predicted: "Coat" 11.9, Actual: "Shirt" 9.5
 1027 Predicted: "Sneaker" 8.1, Actual: "Sandal" 7.3
 1053 Predicted: "Pullover" 10.2, Actual: "Coat" 10.1
 1054 Predicted: "Sneaker" 10.4, Actual: "Ankle boot" 10.0
 1055 Predicted: "Shirt" 9.3, Actual: "Coat" 9.1
 1056 Predicted: "T-shirt/top" 13.2, Actual: "Shirt" 11.9
 1058 Predicted: "Coat" 11.3, Actual: "Shirt" 7.8
 1065 Predicted: "Shirt" 8.5, Actual: "Coat" 7.5
 1066 Predicted: "Shirt" 7.5, Actual: "Bag" 7.3
 1079 Predicted: "Sandal" 6.6, Actual: "Sneaker" 5.7
 1082 Predicted: "Dress" 6.4, Actual: "Trouser" 5.3
 1091 Predicted: "Dress" 8.2, Actual: "Trouser" 7.4
 1101 Predicted: "Shirt" 6.9, Actual: "Coat" 5.2
 1104 Predicted: "Shirt" 9.2, Actual: "Coat" 7.9
 1107 Predicted: "Pullover" 9.4, Actual: "Shirt" 5.8
 1108 Predicted: "Sandal" 5.6, Actual: "Sneaker" 5.2
 1110 Predicted: "Ankle boot" 3.7, Actual: "Sandal" 3.3
 1111 Predicted: "Dress" 9.2, Actual: "T-shirt/top" 3.8
 1116 Predicted: "Shirt" 5.6, Actual: "Pullover" 4.6
 1121 Predicted: "Pullover" 9.3, Actual: "Shirt" 8.9
 1124 Predicted: "Shirt" 8.0, Actual: "T-shirt/top" 7.4
 1131 Predicted: "Coat" 6.0, Actual: "Shirt" 5.3
 1139 Predicted: "Shirt" 5.2, Actual: "T-shirt/top" 5.1
 1142 Predicted: "Shirt" 3.8, Actual: "Coat" 3.7
 1152 Predicted: "T-shirt/top" 7.0, Actual: "Shirt" 5.8
 1160 Predicted: "Dress" 7.7, Actual: "Coat" 5.6
 1162 Predicted: "Coat" 10.2, Actual: "Shirt" 7.1
 1174 Predicted: "Coat" 12.6, Actual: "Shirt" 9.3
 1188 Predicted: "T-shirt/top" 10.8, Actual: "Shirt" 10.7
 1197 Predicted: "Pullover" 8.8, Actual: "Shirt" 7.6
 1210 Predicted: "T-shirt/top" 6.2, Actual: "Shirt" 3.6
 1213 Predicted: "Shirt" 7.9, Actual: "Pullover" 7.2
 1218 Predicted: "Dress" 8.4, Actual: "T-shirt/top" 6.2
 1223 Predicted: "Pullover" 10.0, Actual: "Coat" 9.3
 1231 Predicted: "Shirt" 9.3, Actual: "T-shirt/top" 5.6
 1235 Predicted: "T-shirt/top" 12.1, Actual: "Shirt" 11.2
 1236 Predicted: "T-shirt/top" 11.7, Actual: "Shirt" 10.0
 1243 Predicted: "Shirt" 3.5, Actual: "Coat" 3.0
 1249 Predicted: "Shirt" 7.9, Actual: "T-shirt/top" 6.3
 1251 Predicted: "Dress" 8.6, Actual: "Coat" 8.4
 1254 Predicted: "Coat" 6.7, Actual: "Pullover" 4.6
 1277 Predicted: "Dress" 2.9, Actual: "Shirt" 2.8
 1280 Predicted: "Coat" 11.6, Actual: "Pullover" 10.6
 1294 Predicted: "T-shirt/top" 10.6, Actual: "Shirt" 10.2
 1300 Predicted: "Sandal" 6.8, Actual: "Bag" 2.3
 1305 Predicted: "Shirt" 10.0, Actual: "T-shirt/top" 10.0
 1315 Predicted: "Coat" 9.0, Actual: "Pullover" 8.4
 1322 Predicted: "Coat" 8.8, Actual: "Pullover" 8.0
 1326 Predicted: "Shirt" 8.3, Actual: "Dress" 3.2
 1329 Predicted: "Pullover" 9.7, Actual: "Coat" 9.6
 1334 Predicted: "Shirt" 4.7, Actual: "Coat" 3.8
 1339 Predicted: "Shirt" 6.9, Actual: "Pullover" 6.6
 1352 Predicted: "Coat" 10.0, Actual: "Shirt" 10.0
 1356 Predicted: "Pullover" 9.1, Actual: "Coat" 8.2
 1368 Predicted: "Ankle boot" 10.3, Actual: "Sneaker" 9.9
 1374 Predicted: "Coat" 11.9, Actual: "Pullover" 9.9
 1377 Predicted: "Pullover" 10.2, Actual: "Coat" 10.1
 1388 Predicted: "Shirt" 7.9, Actual: "Coat" 6.0
 1390 Predicted: "Trouser" 7.2, Actual: "Dress" 6.8
 1396 Predicted: "T-shirt/top" 8.5, Actual: "Shirt" 8.0
 1399 Predicted: "Dress" 2.6, Actual: "T-shirt/top" 1.6
 1408 Predicted: "Pullover" 7.5, Actual: "Coat" 5.1
 1449 Predicted: "Coat" 8.4, Actual: "Pullover" 4.9
 1455 Predicted: "Shirt" 7.6, Actual: "Bag" 3.8
 1458 Predicted: "T-shirt/top" 6.9, Actual: "Shirt" 5.5
 1462 Predicted: "Bag" 6.9, Actual: "Coat" 4.9
 1471 Predicted: "Sneaker" 8.6, Actual: "Ankle boot" 7.0
 1482 Predicted: "Dress" 4.3, Actual: "Trouser" 3.1
 1483 Predicted: "Shirt" 8.5, Actual: "T-shirt/top" 7.5
 1487 Predicted: "Coat" 9.7, Actual: "Shirt" 8.1
 1489 Predicted: "T-shirt/top" 5.0, Actual: "Dress" 4.6
 1495 Predicted: "Shirt" 7.3, Actual: "T-shirt/top" 6.7
 1496 Predicted: "Pullover" 7.3, Actual: "Shirt" 6.4
 1501 Predicted: "Sneaker" 6.3, Actual: "Sandal" 6.0
 1502 Predicted: "Pullover" 10.5, Actual: "Shirt" 9.4
 1504 Predicted: "Dress" 5.6, Actual: "T-shirt/top" 4.8
 1509 Predicted: "T-shirt/top" 7.0, Actual: "Pullover" 6.8
 1513 Predicted: "Sneaker" 5.7, Actual: "Sandal" 5.7
 1521 Predicted: "Sneaker" 3.6, Actual: "Bag" 3.6
 1522 Predicted: "Sneaker" 9.5, Actual: "Ankle boot" 6.7
 1527 Predicted: "Shirt" 7.9, Actual: "Pullover" 5.5
 1533 Predicted: "T-shirt/top" 7.0, Actual: "Pullover" 6.6
 1539 Predicted: "Coat" 9.3, Actual: "Pullover" 8.1
 1543 Predicted: "Trouser" 6.4, Actual: "Dress" 6.1
 1567 Predicted: "Sandal" 6.5, Actual: "Sneaker" 5.5
 1576 Predicted: "Shirt" 5.3, Actual: "Pullover" 4.7
 1586 Predicted: "Shirt" 6.0, Actual: "T-shirt/top" 3.7
 1587 Predicted: "Dress" 5.7, Actual: "Coat" 5.5
 1609 Predicted: "Ankle boot" 10.0, Actual: "Sneaker" 9.8
 1617 Predicted: "Sneaker" 4.3, Actual: "Sandal" 2.8
 1620 Predicted: "T-shirt/top" 7.1, Actual: "Shirt" 5.2
 1624 Predicted: "Shirt" 9.2, Actual: "Pullover" 7.9
 1632 Predicted: "Sneaker" 7.9, Actual: "Ankle boot" 7.5
 1642 Predicted: "Bag" 7.1, Actual: "Shirt" 4.9
 1643 Predicted: "Coat" 8.0, Actual: "Shirt" 6.5
 1645 Predicted: "Bag" 2.6, Actual: "Shirt" 0.9
 1650 Predicted: "Pullover" 8.4, Actual: "Shirt" 6.9
 1655 Predicted: "Coat" 9.3, Actual: "Pullover" 8.7
 1659 Predicted: "Dress" 6.7, Actual: "Trouser" -0.3
 1661 Predicted: "Coat" 9.5, Actual: "Pullover" 8.5
 1665 Predicted: "Coat" 9.5, Actual: "Dress" 7.7
 1686 Predicted: "Shirt" 13.8, Actual: "T-shirt/top" 13.5
 1701 Predicted: "Coat" 11.8, Actual: "Shirt" 7.3
 1706 Predicted: "T-shirt/top" 10.0, Actual: "Shirt" 8.8
 1714 Predicted: "T-shirt/top" 5.3, Actual: "Trouser" 5.2
 1718 Predicted: "Sandal" 3.8, Actual: "Ankle boot" 3.4
 1726 Predicted: "Coat" 10.4, Actual: "Pullover" 10.0
 1732 Predicted: "Coat" 9.6, Actual: "Pullover" 6.9
 1743 Predicted: "Coat" 10.9, Actual: "Pullover" 6.0
 1744 Predicted: "Pullover" 6.2, Actual: "Shirt" 5.8
 1756 Predicted: "T-shirt/top" 7.4, Actual: "Shirt" 7.3
 1771 Predicted: "T-shirt/top" 10.1, Actual: "Shirt" 5.7
 1778 Predicted: "Dress" 5.0, Actual: "Bag" 4.6
 1785 Predicted: "Sandal" 6.4, Actual: "Sneaker" 6.0
 1792 Predicted: "Pullover" 9.5, Actual: "Coat" 8.7
 1803 Predicted: "Pullover" 7.1, Actual: "Coat" 6.8
 1810 Predicted: "Coat" 9.7, Actual: "Dress" 8.7
 1811 Predicted: "Pullover" 8.7, Actual: "Coat" 8.4
 1814 Predicted: "Dress" 10.6, Actual: "Coat" 7.3
 1816 Predicted: "Ankle boot" 11.4, Actual: "Sneaker" 10.5
 1817 Predicted: "Sneaker" 10.9, Actual: "Ankle boot" 9.5
 1833 Predicted: "Trouser" 6.9, Actual: "Dress" 5.0
 1852 Predicted: "Coat" 7.8, Actual: "Dress" 1.0
 1855 Predicted: "Pullover" 4.9, Actual: "Coat" 4.4
 1861 Predicted: "Shirt" 8.9, Actual: "T-shirt/top" 8.3
 1867 Predicted: "Shirt" 8.8, Actual: "T-shirt/top" 8.3
 1895 Predicted: "Shirt" 4.5, Actual: "Coat" 3.6
 1907 Predicted: "Sandal" 6.2, Actual: "Ankle boot" 5.4
 1917 Predicted: "Pullover" 10.9, Actual: "Coat" 8.9
 1928 Predicted: "Coat" 8.1, Actual: "Pullover" 7.8
 1930 Predicted: "Coat" 6.2, Actual: "Dress" 5.0
 1943 Predicted: "T-shirt/top" 8.1, Actual: "Shirt" 7.1
 1945 Predicted: "Dress" 6.2, Actual: "T-shirt/top" 4.9
 1953 Predicted: "Sneaker" 8.1, Actual: "Sandal" 4.6
 1954 Predicted: "Sneaker" 8.3, Actual: "Ankle boot" 7.3
 1955 Predicted: "Dress" 7.0, Actual: "Trouser" 3.9
 1957 Predicted: "Coat" 8.1, Actual: "Pullover" 8.0
 1964 Predicted: "Coat" 8.9, Actual: "Pullover" 8.2
 1980 Predicted: "Dress" 8.3, Actual: "Bag" 3.7
 1988 Predicted: "Ankle boot" 11.7, Actual: "Sneaker" 10.5
 2001 Predicted: "Coat" 10.3, Actual: "Pullover" 4.6
 2006 Predicted: "T-shirt/top" 12.3, Actual: "Shirt" 9.7
 2009 Predicted: "T-shirt/top" 13.7, Actual: "Shirt" 11.6
 2010 Predicted: "Coat" 8.2, Actual: "Shirt" 7.9
 2016 Predicted: "Pullover" 10.0, Actual: "Shirt" 9.1
 2020 Predicted: "Coat" 10.1, Actual: "Pullover" 8.7
 2022 Predicted: "Ankle boot" 16.0, Actual: "Sneaker" 7.6
 2037 Predicted: "Sneaker" 5.9, Actual: "Sandal" 5.2
 2039 Predicted: "Coat" 9.7, Actual: "Pullover" 4.7
 2042 Predicted: "Pullover" 6.1, Actual: "Coat" 3.5
 2053 Predicted: "Sneaker" 7.7, Actual: "Sandal" 6.3
 2064 Predicted: "Shirt" 9.5, Actual: "Pullover" 8.1
 2065 Predicted: "Trouser" 7.1, Actual: "Dress" 6.5
 2069 Predicted: "Pullover" 9.7, Actual: "Shirt" 9.0
 2071 Predicted: "Coat" 6.8, Actual: "Dress" 5.3
 2073 Predicted: "Dress" 9.3, Actual: "Coat" 7.2
 2076 Predicted: "Shirt" 5.6, Actual: "Bag" 5.2
 2081 Predicted: "Coat" 7.3, Actual: "Pullover" 6.7
 2091 Predicted: "Shirt" 8.4, Actual: "Bag" 6.2
 2106 Predicted: "Shirt" 2.8, Actual: "Pullover" 2.1
 2110 Predicted: "Coat" 9.9, Actual: "Shirt" 7.2
 2111 Predicted: "Dress" 5.9, Actual: "Trouser" 4.9
 2118 Predicted: "T-shirt/top" 6.2, Actual: "Pullover" 5.5
 2131 Predicted: "Bag" 4.2, Actual: "Pullover" 3.8
 2137 Predicted: "Coat" 9.0, Actual: "Shirt" 9.0
 2144 Predicted: "Shirt" 9.8, Actual: "Coat" 9.3
 2145 Predicted: "Coat" 8.0, Actual: "Shirt" 7.4
 2148 Predicted: "Shirt" 7.3, Actual: "Dress" 6.9
 2150 Predicted: "Shirt" 7.7, Actual: "Coat" 7.4
 2152 Predicted: "Coat" 10.0, Actual: "Pullover" 9.8
 2162 Predicted: "Coat" 6.9, Actual: "Shirt" 6.2
 2174 Predicted: "Dress" 7.6, Actual: "T-shirt/top" 7.6
 2181 Predicted: "Pullover" 8.2, Actual: "Bag" 5.9
 2189 Predicted: "Shirt" 6.7, Actual: "Coat" 5.3
 2191 Predicted: "T-shirt/top" 8.5, Actual: "Shirt" 8.3
 2195 Predicted: "Pullover" 11.8, Actual: "Shirt" 8.6
 2245 Predicted: "T-shirt/top" 4.0, Actual: "Dress" 3.8
 2247 Predicted: "T-shirt/top" 10.1, Actual: "Shirt" 9.6
 2272 Predicted: "Shirt" 5.6, Actual: "Pullover" 5.0
 2278 Predicted: "Coat" 9.8, Actual: "Pullover" 8.9
 2290 Predicted: "T-shirt/top" 11.8, Actual: "Shirt" 10.4
 2298 Predicted: "T-shirt/top" 9.6, Actual: "Shirt" 9.2
 2305 Predicted: "Sneaker" 8.5, Actual: "Sandal" 8.4
 2311 Predicted: "T-shirt/top" 4.1, Actual: "Shirt" 2.1
 2312 Predicted: "T-shirt/top" 4.6, Actual: "Dress" 3.8
 2318 Predicted: "Pullover" 9.3, Actual: "Dress" 8.8
 2326 Predicted: "Pullover" 5.9, Actual: "Shirt" 4.8
 2332 Predicted: "Coat" 7.8, Actual: "Pullover" 5.9
 2337 Predicted: "Coat" 6.9, Actual: "Pullover" 5.1
 2351 Predicted: "Pullover" 7.2, Actual: "Shirt" 6.2
 2352 Predicted: "Pullover" 3.6, Actual: "Shirt" 3.4
 2359 Predicted: "Coat" 8.5, Actual: "T-shirt/top" 6.5
 2367 Predicted: "Bag" 6.0, Actual: "Shirt" 3.3
 2373 Predicted: "Pullover" 4.1, Actual: "Shirt" 2.2
 2381 Predicted: "Dress" 3.7, Actual: "Bag" 3.2
 2382 Predicted: "Dress" 4.3, Actual: "Pullover" 3.1
 2396 Predicted: "Dress" 4.5, Actual: "Trouser" -0.0
 2397 Predicted: "T-shirt/top" 7.0, Actual: "Shirt" 5.3
 2398 Predicted: "Shirt" 8.5, Actual: "Coat" 8.1
 2399 Predicted: "Sandal" 9.1, Actual: "Ankle boot" 8.8
 2417 Predicted: "T-shirt/top" 11.6, Actual: "Shirt" 9.9
 2421 Predicted: "Pullover" 6.4, Actual: "Coat" 5.8
 2423 Predicted: "Sneaker" 7.1, Actual: "Sandal" 6.1
 2425 Predicted: "Pullover" 8.2, Actual: "Shirt" 6.2
 2431 Predicted: "T-shirt/top" 7.9, Actual: "Shirt" 6.3
 2457 Predicted: "Sneaker" 6.5, Actual: "Bag" 4.8
 2462 Predicted: "Shirt" 9.0, Actual: "Coat" 7.3
 2464 Predicted: "T-shirt/top" 8.3, Actual: "Shirt" 6.9
 2469 Predicted: "Pullover" 9.8, Actual: "Shirt" 6.6
 2476 Predicted: "Shirt" 8.1, Actual: "Bag" 3.4
 2478 Predicted: "Dress" 7.4, Actual: "Trouser" -0.1
